season,conf,w,l,wl,w_conf,l_conf,wl_conf,srs,sos,pts,pts_vs,ap_pre,ap_high,ap_final,ncaa_tournament,seed,coaches,seeded,year,is_ap_pre,is_ap_high,is_ap_final,pts_diff,school,pts_total
2007-08,Southern,14,19,0.424,9,11,0.45,-4.71,-1.91,62.8,65.3,30,30,30,0,20,Ernie Nestor,FALSE,2008,FALSE,FALSE,FALSE,-2.5,elon,128.1
2006-07,Southern,7,23,0.233,5,13,0.278,-11.23,-1.48,62.5,70.4,30,30,30,0,20,Ernie Nestor,FALSE,2007,FALSE,FALSE,FALSE,-7.9,elon,132.9
2005-06,Southern,15,14,0.517,10,4,0.714,-7.48,-3.45,67.1,68.2,30,30,30,0,20,Ernie Nestor,FALSE,2006,FALSE,FALSE,FALSE,-1.1,elon,135.3
2004-05,Southern,8,23,0.258,5,11,0.313,-10.93,-2.79,60.3,67.4,30,30,30,0,20,Ernie Nestor,FALSE,2005,FALSE,FALSE,FALSE,-7.1,elon,127.7
2003-04,Southern,12,18,0.4,7,9,0.438,-9.45,-2.95,68.9,73.3,30,30,30,0,20,Ernie Nestor,FALSE,2004,FALSE,FALSE,FALSE,-4.4,elon,142.2
2002-03,Big South,12,15,0.444,8,6,0.571,-13.62,-7.97,63.2,68,30,30,30,0,20,Mark Simons,FALSE,2003,FALSE,FALSE,FALSE,-4.8,elon,131.2
2001-02,Big South,13,16,0.448,7,7,0.5,-13.43,-7.07,69.5,73,30,30,30,0,20,Mark Simons,FALSE,2002,FALSE,FALSE,FALSE,-3.5,elon,142.5
2000-01,Big South,9,20,0.31,4,10,0.286,-17.92,-9.17,64.6,71.2,30,30,30,0,20,Mark Simons,FALSE,2001,FALSE,FALSE,FALSE,-6.6,elon,135.8
2015-16,MVC,25,9,0.735,12,6,0.667,8.1,-0.39,74.3,65.3,30,30,30,0,20,Marty Simmons,FALSE,2016,FALSE,FALSE,FALSE,9,evansville,139.6
2014-15,MVC,24,12,0.667,9,9,0.5,3.36,-0.07,70.9,65.6,30,30,30,0,20,Marty Simmons,FALSE,2015,FALSE,FALSE,FALSE,5.3,evansville,136.5
2013-14,MVC,14,19,0.424,6,12,0.333,-3.12,1.2,69.4,72.2,30,30,30,0,20,Marty Simmons,FALSE,2014,FALSE,FALSE,FALSE,-2.8,evansville,141.6
2012-13,MVC,21,15,0.583,10,8,0.556,5.26,2.91,69.2,65.9,30,30,30,0,20,Marty Simmons,FALSE,2013,FALSE,FALSE,FALSE,3.3,evansville,135.1
2011-12,MVC,16,16,0.5,9,9,0.5,3.46,3.56,73.5,72.7,30,30,30,0,20,Marty Simmons,FALSE,2012,FALSE,FALSE,FALSE,0.8,evansville,146.2
2010-11,MVC,16,16,0.5,9,9,0.5,-0.3,1.8,66.3,67.1,30,30,30,0,20,Marty Simmons,FALSE,2011,FALSE,FALSE,FALSE,-0.8,evansville,133.4
2009-10,MVC,9,21,0.3,3,15,0.167,-4.61,1.82,64.8,68.9,30,30,30,0,20,Marty Simmons,FALSE,2010,FALSE,FALSE,FALSE,-4.1,evansville,133.7
2008-09,MVC,17,14,0.548,8,10,0.444,1.87,2.29,67.1,65.7,30,30,30,0,20,Marty Simmons,FALSE,2009,FALSE,FALSE,FALSE,1.4,evansville,132.8
2007-08,MVC,9,21,0.3,3,15,0.167,-4.62,2.07,59.5,65.5,30,30,30,0,20,Marty Simmons,FALSE,2008,FALSE,FALSE,FALSE,-6,evansville,125
2006-07,MVC,14,17,0.452,6,12,0.333,5.13,4.55,68.7,68.2,30,30,30,0,20,Steve Merfeld,FALSE,2007,FALSE,FALSE,FALSE,0.5,evansville,136.9
2005-06,MVC,10,19,0.345,5,13,0.278,-2.08,3.54,65.3,71,30,30,30,0,20,Steve Merfeld,FALSE,2006,FALSE,FALSE,FALSE,-5.7,evansville,136.3
2004-05,MVC,11,17,0.393,5,13,0.278,0.81,2.91,70.9,73,30,30,30,0,20,Steve Merfeld,FALSE,2005,FALSE,FALSE,FALSE,-2.1,evansville,143.9
2003-04,MVC,7,22,0.241,5,13,0.278,-3.68,3.25,67.7,74.6,30,30,30,0,20,Steve Merfeld,FALSE,2004,FALSE,FALSE,FALSE,-6.9,evansville,142.3
2002-03,MVC,12,16,0.429,8,10,0.444,-0.71,2.97,70,73.7,30,30,30,0,20,Steve Merfeld,FALSE,2003,FALSE,FALSE,FALSE,-3.7,evansville,143.7
2001-02,MVC,7,21,0.25,4,14,0.222,-8.36,0.68,67.6,76.6,30,30,30,0,20,Jim Crews,FALSE,2002,FALSE,FALSE,FALSE,-9,evansville,144.2
2000-01,MVC,14,16,0.467,9,9,0.5,-1.68,1.77,68.9,71.5,30,30,30,0,20,Jim Crews,FALSE,2001,FALSE,FALSE,FALSE,-2.6,evansville,140.4
2015-16,MAAC,19,14,0.576,12,8,0.6,-3.84,-3.14,76.4,77.1,30,30,30,0,20,Sydney Johnson,FALSE,2016,FALSE,FALSE,FALSE,-0.7,fairfield,153.5
2014-15,MAAC,7,24,0.226,5,15,0.25,-8.63,-2.31,59.5,65.8,30,30,30,0,20,Sydney Johnson,FALSE,2015,FALSE,FALSE,FALSE,-6.3,fairfield,125.3
2013-14,MAAC,7,25,0.219,4,16,0.2,-7.37,-0.81,63.4,70,30,30,30,0,20,Sydney Johnson,FALSE,2014,FALSE,FALSE,FALSE,-6.6,fairfield,133.4
2012-13,MAAC,19,16,0.543,9,9,0.5,-0.55,-2,60.6,59.2,30,30,30,0,20,Sydney Johnson,FALSE,2013,FALSE,FALSE,FALSE,1.4,fairfield,119.8
2011-12,MAAC,22,15,0.595,12,6,0.667,2.94,-1.34,65.3,61.1,30,30,30,0,20,Sydney Johnson,FALSE,2012,FALSE,FALSE,FALSE,4.2,fairfield,126.4
2010-11,MAAC,25,8,0.758,15,3,0.833,2.94,-3.91,65.2,58.3,30,30,30,0,20,Ed Cooley,FALSE,2011,FALSE,FALSE,FALSE,6.9,fairfield,123.5
2009-10,MAAC,23,11,0.676,13,5,0.722,0.4,-3.33,71,67.3,30,30,30,0,20,Ed Cooley,FALSE,2010,FALSE,FALSE,FALSE,3.7,fairfield,138.3
2008-09,MAAC,17,15,0.531,9,9,0.5,-2.29,-0.44,65.4,67.3,30,30,30,0,20,Ed Cooley,FALSE,2009,FALSE,FALSE,FALSE,-1.9,fairfield,132.7
2007-08,MAAC,14,16,0.467,11,7,0.611,-5.67,-2.51,65.7,68.9,30,30,30,0,20,Ed Cooley,FALSE,2008,FALSE,FALSE,FALSE,-3.2,fairfield,134.6
2006-07,MAAC,13,19,0.406,10,8,0.556,-4.49,-2,62.4,64.7,30,30,30,0,20,Ed Cooley,FALSE,2007,FALSE,FALSE,FALSE,-2.3,fairfield,127.1
2005-06,MAAC,9,19,0.321,7,11,0.389,-6.23,-0.05,72.1,78.3,30,30,30,0,20,Tim O'Toole,FALSE,2006,FALSE,FALSE,FALSE,-6.2,fairfield,150.4
2004-05,MAAC,15,15,0.5,11,7,0.611,-2.19,-3.23,68,67,30,30,30,0,20,Tim O'Toole,FALSE,2005,FALSE,FALSE,FALSE,1,fairfield,135
2003-04,MAAC,19,11,0.633,12,6,0.667,1.02,-2.38,67.6,64.2,30,30,30,0,20,Tim O'Toole,FALSE,2004,FALSE,FALSE,FALSE,3.4,fairfield,131.8
2002-03,MAAC,19,12,0.613,13,5,0.722,-0.25,-1.06,70.9,70.1,30,30,30,0,20,Tim O'Toole,FALSE,2003,FALSE,FALSE,FALSE,0.8,fairfield,141
2001-02,MAAC,12,17,0.414,9,9,0.5,-5.63,-4.28,71.7,73,30,30,30,0,20,Tim O'Toole,FALSE,2002,FALSE,FALSE,FALSE,-1.3,fairfield,144.7
2000-01,MAAC,12,16,0.429,8,10,0.444,-6.43,-3.51,73.9,76.8,30,30,30,0,20,Tim O'Toole,FALSE,2001,FALSE,FALSE,FALSE,-2.9,fairfield,150.7
2015-16,NEC,18,15,0.545,11,7,0.611,-10.9,-8.31,77.5,78.8,30,30,30,0,16,Greg Herenda,TRUE,2016,FALSE,FALSE,FALSE,-1.3,fairleigh-dickinson,156.3
2014-15,NEC,8,21,0.276,3,15,0.167,-12.22,-4.54,67.4,73.4,30,30,30,0,20,Greg Herenda,FALSE,2015,FALSE,FALSE,FALSE,-6,fairleigh-dickinson,140.8
2013-14,NEC,10,21,0.323,6,10,0.375,-11.24,-4.07,69.6,76.1,30,30,30,0,20,Greg Herenda,FALSE,2014,FALSE,FALSE,FALSE,-6.5,fairleigh-dickinson,145.7
2012-13,NEC,7,24,0.226,2,16,0.111,-18,-4.65,65.6,79,30,30,30,0,20,Greg Vetrone,FALSE,2013,FALSE,FALSE,FALSE,-13.4,fairleigh-dickinson,144.6
2011-12,NEC,3,26,0.103,2,16,0.111,-16.99,-5.06,60.8,72.7,30,30,30,0,20,Greg Vetrone,FALSE,2012,FALSE,FALSE,FALSE,-11.9,fairleigh-dickinson,133.5
2010-11,NEC,5,24,0.172,3,15,0.167,-13.34,-5,64.3,72.7,30,30,30,0,20,Greg Vetrone,FALSE,2011,FALSE,FALSE,FALSE,-8.4,fairleigh-dickinson,137
2009-10,NEC,11,21,0.344,10,8,0.556,-15.56,-6.42,63.3,71.2,30,30,30,0,20,Greg Vetrone,FALSE,2010,FALSE,FALSE,FALSE,-7.9,fairleigh-dickinson,134.5
2008-09,NEC,7,23,0.233,6,12,0.333,-17.59,-5.18,63.6,76.1,30,30,30,0,20,Tom Green,FALSE,2009,FALSE,FALSE,FALSE,-12.5,fairleigh-dickinson,139.7
2007-08,NEC,8,20,0.286,4,14,0.222,-13.27,-5.12,70,78.2,30,30,30,0,20,Tom Green,FALSE,2008,FALSE,FALSE,FALSE,-8.2,fairleigh-dickinson,148.2
2006-07,NEC,14,16,0.467,9,9,0.5,-9.71,-6.67,73.1,75.1,30,30,30,0,20,Tom Green,FALSE,2007,FALSE,FALSE,FALSE,-2,fairleigh-dickinson,148.2
2005-06,NEC,20,12,0.625,14,4,0.778,-3.15,-5.28,74.3,70.8,30,30,30,0,20,Tom Green,FALSE,2006,FALSE,FALSE,FALSE,3.5,fairleigh-dickinson,145.1
2004-05,NEC,20,13,0.606,13,5,0.722,-4.13,-6.91,73.7,70,30,30,30,1,16,Tom Green,TRUE,2005,FALSE,FALSE,FALSE,3.7,fairleigh-dickinson,143.7
2003-04,NEC,17,12,0.586,11,7,0.611,-7.11,-7.65,69.4,68.1,30,30,30,0,20,Tom Green,FALSE,2004,FALSE,FALSE,FALSE,1.3,fairleigh-dickinson,137.5
2002-03,NEC,15,14,0.517,9,9,0.5,-11.53,-9.91,72.6,74.2,30,30,30,0,20,Tom Green,FALSE,2003,FALSE,FALSE,FALSE,-1.6,fairleigh-dickinson,146.8
2001-02,NEC,4,25,0.138,4,16,0.2,-19.56,-10.28,71.5,80.8,30,30,30,0,20,Tom Green,FALSE,2002,FALSE,FALSE,FALSE,-9.3,fairleigh-dickinson,152.3
2000-01,NEC,13,15,0.464,10,10,0.5,-11.42,-8.45,68.5,71.5,30,30,30,0,20,Tom Green,FALSE,2001,FALSE,FALSE,FALSE,-3,fairleigh-dickinson,140
2015-16,MEAC,8,21,0.276,4,12,0.25,-21.74,-10.67,64.2,73.4,30,30,30,0,20,Byron Samuels,FALSE,2016,FALSE,FALSE,FALSE,-9.2,florida-am,137.6
2014-15,MEAC,2,27,0.069,2,14,0.125,-26.04,-8.52,55.4,72.9,30,30,30,0,20,Byron Samuels,FALSE,2015,FALSE,FALSE,FALSE,-17.5,florida-am,128.3
2013-14,MEAC,14,18,0.438,8,8,0.5,-12.31,-7.58,71.3,74.1,30,30,30,0,20,Clemon Johnson,FALSE,2014,FALSE,FALSE,FALSE,-2.8,florida-am,145.4
2012-13,MEAC,8,23,0.258,5,11,0.313,-16.14,-6.21,65,72.1,30,30,30,0,20,Clemon Johnson,FALSE,2013,FALSE,FALSE,FALSE,-7.1,florida-am,137.1
2011-12,MEAC,10,23,0.303,6,10,0.375,-15.58,-6.29,65.9,73.2,30,30,30,0,20,Clemon Johnson,FALSE,2012,FALSE,FALSE,FALSE,-7.3,florida-am,139.1
2010-11,MEAC,12,20,0.375,7,9,0.438,-16.82,-8.71,64.2,68.6,30,30,30,0,20,Eugene Harris,FALSE,2011,FALSE,FALSE,FALSE,-4.4,florida-am,132.8
2009-10,MEAC,9,22,0.29,5,11,0.313,-18.8,-6.41,63.4,73.2,30,30,30,0,20,Eugene Harris,FALSE,2010,FALSE,FALSE,FALSE,-9.8,florida-am,136.6
2008-09,MEAC,10,21,0.323,6,10,0.375,-17.22,-5.72,61.3,71.9,30,30,30,0,20,Eugene Harris,FALSE,2009,FALSE,FALSE,FALSE,-10.6,florida-am,133.2
2007-08,MEAC,15,17,0.469,9,7,0.563,-15.45,-7.18,64.5,70.3,30,30,30,0,20,Eugene Harris,FALSE,2008,FALSE,FALSE,FALSE,-5.8,florida-am,134.8
2006-07,MEAC,21,14,0.6,12,6,0.667,-9.73,-7.49,70.5,70.5,30,30,30,1,16,Mike Gillespie,TRUE,2007,FALSE,FALSE,FALSE,0,florida-am,141
2005-06,MEAC,14,17,0.452,10,8,0.556,-13.56,-8.06,66.8,71.9,30,30,30,0,20,Mike Gillespie,FALSE,2006,FALSE,FALSE,FALSE,-5.1,florida-am,138.7
2004-05,MEAC,14,15,0.483,10,8,0.556,-15.06,-9.24,68,73.8,30,30,30,0,20,Mike Gillespie,FALSE,2005,FALSE,FALSE,FALSE,-5.8,florida-am,141.8
2003-04,MEAC,15,17,0.469,10,8,0.556,-9.85,-7.94,72.2,74.1,30,30,30,1,16,Mike Gillespie,TRUE,2004,FALSE,FALSE,FALSE,-1.9,florida-am,146.3
2002-03,MEAC,17,12,0.586,11,7,0.611,-10.58,-10.3,71.5,71.9,30,30,30,0,20,Mike Gillespie,FALSE,2003,FALSE,FALSE,FALSE,-0.4,florida-am,143.4
2001-02,MEAC,9,19,0.321,9,9,0.5,-14.55,-7.48,66.5,73.6,30,30,30,0,20,Mike Gillespie,FALSE,2002,FALSE,FALSE,FALSE,-7.1,florida-am,140.1
2000-01,MEAC,6,22,0.214,4,14,0.222,-22.79,-10.22,67,79.6,30,30,30,0,20,Mickey Clayton,FALSE,2001,FALSE,FALSE,FALSE,-12.6,florida-am,146.6
2015-16,CUSA,8,25,0.242,5,13,0.278,-10.3,-1.72,66.3,74.1,30,30,30,0,20,Michael Curry,FALSE,2016,FALSE,FALSE,FALSE,-7.8,florida-atlantic,140.4
2014-15,CUSA,9,20,0.31,2,16,0.111,-7.8,-2.06,62.6,66.7,30,30,30,0,20,Michael Curry,FALSE,2015,FALSE,FALSE,FALSE,-4.1,florida-atlantic,129.3
2013-14,CUSA,10,22,0.313,5,11,0.313,-5.12,-0.42,66.3,68.5,30,30,30,0,20,Mike Jarvis,FALSE,2014,FALSE,FALSE,FALSE,-2.2,florida-atlantic,134.8
2012-13,Sun Belt,14,18,0.438,9,11,0.45,-5.88,-2.49,65.4,67.6,30,30,30,0,20,Mike Jarvis,FALSE,2013,FALSE,FALSE,FALSE,-2.2,florida-atlantic,133
2011-12,Sun Belt,11,19,0.367,7,9,0.438,-2.58,0.77,65.9,68.2,30,30,30,0,20,Mike Jarvis,FALSE,2012,FALSE,FALSE,FALSE,-2.3,florida-atlantic,134.1
2010-11,Sun Belt,21,11,0.656,13,3,0.813,-2.41,-2.61,68.5,66.8,30,30,30,0,20,Mike Jarvis,FALSE,2011,FALSE,FALSE,FALSE,1.7,florida-atlantic,135.3
2009-10,Sun Belt,14,16,0.467,10,8,0.556,-4.48,-3.3,73.4,73.5,30,30,30,0,20,Mike Jarvis,FALSE,2010,FALSE,FALSE,FALSE,-0.1,florida-atlantic,146.9
2008-09,Sun Belt,6,26,0.188,2,16,0.111,-9.68,-2.1,65,72.5,30,30,30,0,20,Mike Jarvis,FALSE,2009,FALSE,FALSE,FALSE,-7.5,florida-atlantic,137.5
2007-08,Sun Belt,15,18,0.455,8,10,0.444,-5.64,-2.38,71.7,74.1,30,30,30,0,20,Rex Walters,FALSE,2008,FALSE,FALSE,FALSE,-2.4,florida-atlantic,145.8
2006-07,Sun Belt,16,15,0.516,10,8,0.556,-10.24,-4.34,74.9,78,30,30,30,0,20,Rex Walters,FALSE,2007,FALSE,FALSE,FALSE,-3.1,florida-atlantic,152.9
2005-06,A-Sun,15,13,0.536,14,6,0.7,-9.68,-8.43,73.4,72.8,30,30,30,0,20,Matt Doherty,FALSE,2006,FALSE,FALSE,FALSE,0.6,florida-atlantic,146.2
2004-05,A-Sun,10,17,0.37,10,10,0.5,-9.02,-7.13,76.8,78.7,30,30,30,0,20,Sidney Green,FALSE,2005,FALSE,FALSE,FALSE,-1.9,florida-atlantic,155.5
2003-04,A-Sun,9,19,0.321,6,14,0.3,-7.22,-5.68,77,76.9,30,30,30,0,20,Sidney Green,FALSE,2004,FALSE,FALSE,FALSE,0.1,florida-atlantic,153.9
2002-03,A-Sun,7,21,0.25,3,13,0.188,-12.55,-4.18,69.7,76.8,30,30,30,0,20,Sidney Green,FALSE,2003,FALSE,FALSE,FALSE,-7.1,florida-atlantic,146.5
2001-02,A-Sun,19,12,0.613,13,7,0.65,-3.95,-5.33,74.3,72.1,30,30,30,1,15,Sidney Green,TRUE,2002,FALSE,FALSE,FALSE,2.2,florida-atlantic,146.4
2000-01,TAAC,7,24,0.226,5,13,0.278,-16.07,-3.79,68.4,81.3,30,30,30,0,20,Sidney Green,FALSE,2001,FALSE,FALSE,FALSE,-12.9,florida-atlantic,149.7
2015-16,SEC,21,15,0.583,9,9,0.5,14.69,9.19,74.4,68.9,30,30,30,0,20,Michael White,FALSE,2016,FALSE,FALSE,FALSE,5.5,florida,143.3
2014-15,SEC,16,17,0.485,8,10,0.444,13.27,9.67,63.7,60.1,7,7,30,0,20,Billy Donovan,FALSE,2015,TRUE,TRUE,FALSE,3.6,florida,123.8
2013-14,SEC,36,3,0.923,18,0,1,20.69,8.54,69.9,57.8,10,1,1,7,1,Billy Donovan,TRUE,2014,TRUE,TRUE,TRUE,12.1,florida,127.7
2012-13,SEC,29,8,0.784,14,4,0.778,23.86,6.83,71.4,54.4,10,2,14,5,3,Billy Donovan,TRUE,2013,TRUE,TRUE,TRUE,17,florida,125.8
2011-12,SEC,26,11,0.703,10,6,0.625,18.25,7.33,75.9,65,8,7,25,5,7,Billy Donovan,TRUE,2012,TRUE,TRUE,TRUE,10.9,florida,140.9
2010-11,SEC,29,8,0.784,13,3,0.813,16.27,7.57,72.1,63.4,9,9,15,5,2,Billy Donovan,TRUE,2011,TRUE,TRUE,TRUE,8.7,florida,135.5
2009-10,SEC,21,13,0.618,9,7,0.563,11.89,7.16,72.2,66.4,30,10,30,1,10,Billy Donovan,TRUE,2010,FALSE,TRUE,FALSE,5.8,florida,138.6
2008-09,SEC,25,11,0.694,9,7,0.563,12.83,3.88,77.1,67.4,19,17,30,0,20,Billy Donovan,FALSE,2009,TRUE,TRUE,FALSE,9.7,florida,144.5
2007-08,SEC,24,12,0.667,8,8,0.5,12.34,4.98,77.5,67.6,30,20,30,0,20,Billy Donovan,FALSE,2008,FALSE,TRUE,FALSE,9.9,florida,145.1
2006-07,SEC,35,5,0.875,13,3,0.813,23.82,7.34,79.8,62.6,1,1,3,9,1,Billy Donovan,TRUE,2007,TRUE,TRUE,TRUE,17.2,florida,142.4
2005-06,SEC,33,6,0.846,10,6,0.625,20.21,5.49,78.3,63.5,30,2,11,9,3,Billy Donovan,TRUE,2006,FALSE,TRUE,TRUE,14.8,florida,141.8
2004-05,SEC,24,8,0.75,12,4,0.75,20.18,7.12,76.2,63.1,23,16,16,2,4,Billy Donovan,TRUE,2005,TRUE,TRUE,TRUE,13.1,florida,139.3
2003-04,SEC,20,11,0.645,9,7,0.563,16.29,9.19,76.4,69.3,8,1,30,1,5,Billy Donovan,TRUE,2004,TRUE,TRUE,FALSE,7.1,florida,145.7
2002-03,SEC,25,8,0.758,12,4,0.75,18.54,7.76,75.3,64.5,7,1,10,2,2,Billy Donovan,TRUE,2003,TRUE,TRUE,TRUE,10.8,florida,139.8
2001-02,SEC,22,9,0.71,10,6,0.625,22.27,8.37,80.5,66.6,6,2,15,1,5,Billy Donovan,TRUE,2002,TRUE,TRUE,TRUE,13.9,florida,147.1
2000-01,SEC,24,7,0.774,12,4,0.75,21.32,7.51,80.9,67.1,11,5,8,2,3,Billy Donovan,TRUE,2001,TRUE,TRUE,TRUE,13.8,florida,148
2015-16,A-Sun,21,14,0.6,8,6,0.571,-0.79,-3.82,77.2,70.7,30,30,30,1,16,Joe Dooley,TRUE,2016,FALSE,FALSE,FALSE,6.5,florida-gulf-coast,147.9
2014-15,A-Sun,22,11,0.667,11,3,0.786,-1.81,-4.98,67.4,63.2,30,30,30,0,20,Joe Dooley,FALSE,2015,FALSE,FALSE,FALSE,4.2,florida-gulf-coast,130.6
2013-14,A-Sun,22,13,0.629,14,4,0.778,-1.97,-5.76,71.5,66.8,30,30,30,0,20,Joe Dooley,FALSE,2014,FALSE,FALSE,FALSE,4.7,florida-gulf-coast,138.3
2012-13,A-Sun,26,11,0.703,13,5,0.722,2.76,-2.07,72.9,66.7,30,30,30,4,15,Andy Enfield,TRUE,2013,FALSE,FALSE,FALSE,6.2,florida-gulf-coast,139.6
2011-12,A-Sun,15,17,0.469,8,10,0.444,-2.41,-1.96,72.1,72.1,30,30,30,0,20,Andy Enfield,FALSE,2012,FALSE,FALSE,FALSE,0,florida-gulf-coast,144.2
2010-11,A-Sun,10,20,0.333,7,13,0.35,-10.27,-3.11,65.7,72.8,30,30,30,0,20,Dave Balza,FALSE,2011,FALSE,FALSE,FALSE,-7.1,florida-gulf-coast,138.5
2009-10-nm,A-Sun,8,21,0.276,5,15,0.25,-7.006369048,-4.407738095,64.7,71.8,30,30,30,0,20,Dave Balza,FALSE,2010,FALSE,FALSE,FALSE,-7.1,florida-gulf-coast,136.5
2008-09-nm,A-Sun,11,20,0.355,7,13,0.35,-7.006369048,-4.407738095,65.2,71.5,30,30,30,0,20,Dave Balza,FALSE,2009,FALSE,FALSE,FALSE,-6.3,florida-gulf-coast,136.7
2007-08-nm,A-Sun,10,21,0.323,6,10,0.375,-7.006369048,-4.407738095,66,73.7,30,30,30,0,20,Dave Balza,FALSE,2008,FALSE,FALSE,FALSE,-7.7,florida-gulf-coast,139.7
2015-16,CUSA,13,19,0.406,7,11,0.389,-5.25,-4.81,71.2,70.1,30,30,30,0,20,Anthony Evans,FALSE,2016,FALSE,FALSE,FALSE,1.1,florida-international,141.3
2014-15,CUSA,16,17,0.485,8,10,0.444,-7.78,-3.23,62.4,65.2,30,30,30,0,20,Anthony Evans,FALSE,2015,FALSE,FALSE,FALSE,-2.8,florida-international,127.6
2013-14,CUSA,15,16,0.484,7,9,0.438,-5.4,-1.58,68.6,70,30,30,30,0,20,Anthony Evans,FALSE,2014,FALSE,FALSE,FALSE,-1.4,florida-international,138.6
2012-13,Sun Belt,18,14,0.563,11,9,0.55,-2.08,-2.11,69.1,69,30,30,30,0,20,Richard Pitino,FALSE,2013,FALSE,FALSE,FALSE,0.1,florida-international,138.1
2011-12,Sun Belt,8,21,0.276,5,11,0.313,-5.07,-1.1,63.3,67.3,30,30,30,0,20,Isiah Thomas,FALSE,2012,FALSE,FALSE,FALSE,-4,florida-international,130.6
2010-11,Sun Belt,11,19,0.367,5,11,0.313,-9.33,-4.23,71.7,75.4,30,30,30,0,20,Isiah Thomas,FALSE,2011,FALSE,FALSE,FALSE,-3.7,florida-international,147.1
2009-10,Sun Belt,7,25,0.219,4,14,0.222,-12.81,-2.74,68,77.2,30,30,30,0,20,Isiah Thomas,FALSE,2010,FALSE,FALSE,FALSE,-9.2,florida-international,145.2
2008-09,Sun Belt,13,20,0.394,7,11,0.389,-7.71,-1.52,62.8,67.9,30,30,30,0,20,Sergio Rouco,FALSE,2009,FALSE,FALSE,FALSE,-5.1,florida-international,130.7
2007-08,Sun Belt,9,20,0.31,6,12,0.333,-7.09,0.22,64,69.8,30,30,30,0,20,Sergio Rouco,FALSE,2008,FALSE,FALSE,FALSE,-5.8,florida-international,133.8
2006-07,Sun Belt,12,17,0.414,7,11,0.389,-13,-5.77,66.2,71.6,30,30,30,0,20,Sergio Rouco,FALSE,2007,FALSE,FALSE,FALSE,-5.4,florida-international,137.8
2005-06,Sun Belt,8,20,0.286,4,10,0.286,-9.49,-0.07,61.7,69.3,30,30,30,0,20,Sergio Rouco,FALSE,2006,FALSE,FALSE,FALSE,-7.6,florida-international,131
2004-05,Sun Belt,13,17,0.433,4,10,0.286,-3.9,0.34,67.6,71.2,30,30,30,0,20,Sergio Rouco,FALSE,2005,FALSE,FALSE,FALSE,-3.6,florida-international,138.8
2003-04,Sun Belt,5,22,0.185,1,13,0.071,-15.26,-1.54,56.1,68.2,30,30,30,0,20,Donnie Marsh,FALSE,2004,FALSE,FALSE,FALSE,-12.1,florida-international,124.3
2002-03,Sun Belt,8,21,0.276,1,13,0.071,-5.27,-0.19,60.5,64.4,30,30,30,0,20,Donnie Marsh,FALSE,2003,FALSE,FALSE,FALSE,-3.9,florida-international,124.9
2001-02,Sun Belt,10,20,0.333,4,10,0.286,-5.43,-0.5,63.6,67.6,30,30,30,0,20,Donnie Marsh,FALSE,2002,FALSE,FALSE,FALSE,-4,florida-international,131.2
2000-01,Sun Belt,8,21,0.276,5,11,0.313,-9.16,-0.7,59.6,67.1,30,30,30,0,20,Donnie Marsh,FALSE,2001,FALSE,FALSE,FALSE,-7.5,florida-international,126.7
2015-16,ACC,20,14,0.588,8,10,0.444,12.16,8.16,78,74,30,30,30,0,20,Leonard Hamilton,FALSE,2016,FALSE,FALSE,FALSE,4,florida-state,152
2014-15,ACC,17,16,0.515,8,10,0.444,6.69,7.02,66.6,67,30,30,30,0,20,Leonard Hamilton,FALSE,2015,FALSE,FALSE,FALSE,-0.4,florida-state,133.6
2013-14,ACC,22,14,0.611,9,9,0.5,12.63,8.13,70.9,66.4,30,30,30,0,20,Leonard Hamilton,FALSE,2014,FALSE,FALSE,FALSE,4.5,florida-state,137.3
2012-13,ACC,18,16,0.529,9,9,0.5,5.67,7.23,67,68.6,25,25,30,0,20,Leonard Hamilton,FALSE,2013,TRUE,TRUE,FALSE,-1.6,florida-state,135.6
2011-12,ACC,25,10,0.714,12,4,0.75,14.53,7.62,69.8,62.9,30,10,10,3,3,Leonard Hamilton,TRUE,2012,FALSE,TRUE,TRUE,6.9,florida-state,132.7
2010-11,ACC,23,11,0.676,11,5,0.688,13.48,6.45,69.1,62,30,22,30,4,10,Leonard Hamilton,TRUE,2011,FALSE,TRUE,FALSE,7.1,florida-state,131.1
2009-10,ACC,22,10,0.688,10,6,0.625,14.64,6.79,68.2,60.4,30,18,30,1,9,Leonard Hamilton,TRUE,2010,FALSE,TRUE,FALSE,7.8,florida-state,128.6
2008-09,ACC,25,10,0.714,10,6,0.625,11.37,7.91,68.3,64.9,30,16,16,1,5,Leonard Hamilton,TRUE,2009,FALSE,TRUE,TRUE,3.4,florida-state,133.2
2007-08,ACC,19,15,0.559,7,9,0.438,10.4,7.31,72.1,69,30,30,30,0,20,Leonard Hamilton,FALSE,2008,FALSE,FALSE,FALSE,3.1,florida-state,141.1
2006-07,ACC,22,13,0.629,7,9,0.438,14.14,8.63,74.5,69,30,30,30,0,20,Leonard Hamilton,FALSE,2007,FALSE,FALSE,FALSE,5.5,florida-state,143.5
2005-06,ACC,20,10,0.667,9,7,0.563,12.36,4.86,76.7,69.2,30,30,30,0,20,Leonard Hamilton,FALSE,2006,FALSE,FALSE,FALSE,7.5,florida-state,145.9
2004-05,ACC,12,19,0.387,4,12,0.25,6.82,8.99,68.6,70,30,30,30,0,20,Leonard Hamilton,FALSE,2005,FALSE,FALSE,FALSE,-1.4,florida-state,138.6
